,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices_num,ipadSc_urls_num,lang_num,app_desc
0,100788224,3.99,21292,26,4,4.5,4+,Games,38,5,10,"SAVE 20%, now only $3.99 for a limited time!

One of the most popular video games in arcade history!
2015 World Video Game Hall of Fame Inductee

Who can forget the countless hours and quarters spent outrunning pesky ghosts and chompin’ on dots? Now you can have the same arcade excitement on your mobile devices! 
Guide PAC-MAN through the mazes with easy swipe controls, a MFi controller, or kick it old school with the onscreen joystick!
Eat all of the dots to advance to the next stage. Go for high scores and higher levels! Gain an extra life at 10.000 points! Gobble Power Pellets to weaken ghosts temporarily and eat them up before they change back. Avoid Blinky, the leader of the ghosts, and his fellow ghosts Pinky, Inky, and Clyde, or you will lose a life. It’s game over when you lose all your lives.

9 NEW MAZES Included!!!
The game includes 9 new mazes in addition to the pixel for pixel recreation of the classic original maze. Challenge your skill to beat them all! We are constantly updating the game with new maze packs that you can buy to complete your PAC-MAN collection.

HINTS and TIPS!!!
Insider pro-tips and hints are being made available for the first time in-game! Use these to help you become a PAC-MAN champion!

FEATURES:
• New tournaments
• New Visual Hints and Pro-tips
• New mazes for all new challenges
• Play an arcade perfect port of classic PAC-MAN
• Two different control modes
• Three game difficulties (including the original 1980 arcade game)
• Retina display support
• MFi controller support"
1,158578688,0,161065,26,4,3.5,4+,Productivity,37,5,23,"Let Evernote change the way you organize your personal and professional projects. Dive in: take notes, create to-do lists, and save things you find online into Evernote. We’ll sync everything between your phone, tablet, and computer automatically.

---

“Use Evernote as the place you put everything… Don’t ask yourself which device it’s on—it’s in Evernote” – The New York Times

“When it comes to taking all manner of notes and getting work done, Evernote is an indispensable tool.” – PC Mag

---

GET ORGANIZED
Evernote gives you the tools you need to keep your work effortlessly organized:
• Write, collect and capture ideas as searchable notes, notebooks, checklists and to-do lists
• Take notes in a variety of formats, including: text, sketches, photos, audio, video, PDFs, web clippings and more
• Use the camera to effortlessly scan, digitize, and organize your paper documents, business cards, handwritten notes and drawings
• Use Evernote as a digital notepad and easy-to-format word processor for all your thoughts as they come

SYNC ANYWHERE
Evernote gives you the ability to sync your content across devices:
• Sync everything automatically across any computer, phone or tablet
• Start your task working on one device and continue on another without ever missing a beat
• Add a passcode lock to the mobile app for more privacy

SHARE YOUR IDEAS
Evernote gives you the tools to share, discuss and collaborate productively with others:
• Create, share and discuss with the people who help get your work done, all in one app
• Search within pictures and annotate images to give quick feedback
• Develop your projects faster and let multiple participants work on different aspects

EVERNOTE IN EVERYDAY LIFE
• Make personal checklists to keep your thoughts organized
• Set reminders to keep on top of activities and write to-do lists
• Gather, capture and store every thought you need to stay productive
• Plan events such as holidays, weddings or parties

EVERNOTE IN BUSINESS
• Create agendas, write memos and craft presentations
• Annotate documents with comments and thoughts during team meetings, then share with colleagues
• Get your projects underway faster and maximise productivity by letting multiple participants access and work on different aspects alongside each other

EVERNOTE IN EDUCATION
• Keep up with lecture notes so you don’t miss a vital thought
• Clip and highlight articles from the web for academic research
• Plan and collaborate for better academic group work

BETTER NOTE INTERACTION WITH 3D TOUCH
• Quick Actions for faster note creation and search
• Sketch in notes with pressure sensitive ink

EVERNOTE FOR APPLE WATCH
• Dictate notes and they will be transcribed in Evernote
• Dictate searches and get results on your Apple Watch
• View newly created & updated notes
• Set reminders, get notifications, and never forget anything

---

Also available from Evernote:

EVERNOTE PLUS - More space. More devices. More freedom.
• 1 GB of new uploads each month
• Unlimited number of devices
• Access your notes and notebooks offline
• Save emails to Evernote
$3.99 monthly, $34.99 annually

EVERNOTE PREMIUM - The ultimate workspace.
• 10 GB of new uploads each month
• Unlimited number of devices
• Access your notes and notebooks offline
• Save emails to Evernote
• Search inside Office docs and attachments
• Annotate PDFs
• Scan and digitize business cards
• Show notes as presentations, instantly (desktop only)
$7.99 monthly, $69.99 annually

---

Price may vary by location. Subscriptions will be charged to your credit card through your iTunes account. Your subscription will automatically renew unless canceled at least 24 hours before the end of the current period. You will not be able to cancel the subscription once activated. Manage your subscriptions in Account Settings after purchase.

---

Privacy Policy: https://evernote.com/legal/privacy.php 
Terms of Service: https://evernote.com/legal/tos.php"
2,100524032,0,188583,2822,3.5,4.5,4+,Weather,37,5,3,"Download the most popular free weather app powered by the largest professional weather network in the world! Our weather network delivers the fastest alerts and the best real-time forecasts (current, hourly and 10-day).

“I love WeatherBug! It’s always accurate & is the first place I go for up-to-the minute weather!” –iOS User

It's easy to use and has 18 different weather maps including Doppler radar, lightning, wind, temperature, alerts, pressure, and humidity. Join millions who rely on WeatherBug every day!


TRACK ANY CONDITION
• North American Doppler Radar: See Doppler radar across the United States, Canada, Mexico, Alaska & Hawaii
• PulseRad® Radar: Get radar for many international locations using patented Earth Networks Total Lightning Network® technology.
• Real-Time Pinpoint Forecasts: Get the most accurate current, hourly and 10-day weather forecasts
• Enhanced Interactive Map: Visualize weather conditions with 18 weather maps
• Spark Lightning Alerts: Your personal lightning detector, Spark gives you minute-by-minute, mile-by-mile lightning proximity alerts
• Real-Time Traffic Conditions: View current traffic conditions to better plan your day
• Apple Watch Support: Get vital weather information directly on your Apple Watch, including alerts, glances, and complications
• Lifestyle Forecasts: Know how weather will impact your sports games, workouts, allergies, chronic pain and much more
• Hurricane Center: Stay informed of all hurricane forecasts and changing conditions to protect you and your loved ones


LARGEST WEATHER NETWORK
• Forecasts for 2.6 million+ locations worldwide
• Largest total lightning detection network
• 10,000+ professional-grade weather stations
• Live weather & traffic cameras


FASTEST WEATHER ALERTS
• Get notified of severe weather 50% faster with our Dangerous Thunderstorm Alerts
• Receive all National Weather Service watches and warnings


Be prepared. Know Before™. Download the app used and loved by millions, voted the “Best Weather App for iPads” by AppPicker, and “Best App for Moms” by Parent Magazine - WeatherBug!"
3,128512000,0,262241,649,4,4.5,12+,Shopping,37,5,9,"The eBay app is the best way to find anything you need, from dresses, handbags and fashion accessories to new & used cars. Browse our inventory of millions of products from sellers locally and globally to find exactly what you're looking for at a great price.

With the eBay app, you can buy or sell items and manage your eBay experience wherever you are! Scan products to get info, compare prices or set up a store page instantly- even create a custom page with important details from scanned items. Notifications will let you know each time an auction ends, a customer messages or a user outbids you in an auction so you can stay up to date on the go.

Buy and sell in categories like:

eBay Motors
• Buy new and used cars, trucks, motorcycles and more
• Outfit your vehicle with decals, accessories and safety equipment

Clothing, Shoes & Accessories
• Find your favorite brands at unbeatable prices
• Browse sneakers and rare shoes from other collectors
• Buy designer fashion, jewelry, watches and more cheaper than in-store

Home & Garden
• Home decor, furniture, paintings, pillows and more
• Garden and patio furniture, tools and decorations
• Fun DIY projects, and the materials to make them

Health, Beauty & More
• Makeup products from top brands
• Name brand beauty products & gift ideas

Electronics, Cell Phones & Accessories
• Find the perfect phone for you and get the best price
• Get cases, chargers, headphones and accessories for your new phone
• Miss out on that Black Friday deal? Find amazing deals all year on TVs, laptops and more

Sports Equipment & Apparel
• Workout gear and equipment, new or used
• Jerseys and apparel from your favorite teams

And so much more!

With the eBay app you can:

Bid and buy for incredible discounts:
• Browse eBay Deals to find featured discounts on top brands, all with free shipping.
• Find deals on new items or purchase in bulk straight from the source.
• Search the best deals on millions of items.
• Price check with different sellers to get the best deal.

Save money on the products you love:
• Find everything you need for Spring renovations at the right price.
• Get the things you love for the right price. New or used, eBay has everything from clothes to electronics to cars.
• Buy your favorite items from our trusted sellers and save money.
• Choose Buy It Now to get the items you need instantly.
• Follow your favorite searches and sellers for quick access to the latest inventory.

Sell your items in minutes:
• List your used, new or duplicate items and start making extra money.
• Choose Buy It Now listings or online auctions to sell anything.
• Auto-fill product details for even faster setup.

Stay up to date with push notifications:
• See when customers view, bid and watch your items.
• Message buyers, with instant notifications when they respond.

Discover new items with our improved browsing experience:
• Use the new and improved eBay search to find new items
• Get personalized recommendations based on your shopping habits

Track orders and get notifications:
• Get customizable alerts about your eBay items and activity.
• Track your packages.
• Leave feedback for sellers.
• Read and respond to eBay messages.
• Report missing or un-shipped items.

Use the barcode scanner to search and sell stuff faster:
• Scan items to search eBay for deals.
• Auto-create a listing with a simple scan to speed up the selling process.
• Users scanning items will be able to find your listings faster than ever.

eBay gets you top prices on the items you love, and the best value for the things you want to sell. Whether you shop or sell, eBay’s mobile app does it all. We’ll stop here so you can start shopping now.

Download the eBay app and start your search today!
_____________________________________

KEEP IN TOUCH
Thanks to all our loyal fans for your support and suggestions! Your feedback is important to us. Please contact us with any questions by tweeting @askebay or join the discussion at www.ebay.com/iOS"
4,92774400,0,985920,5320,4.5,5,4+,Reference,37,5,45,"On more than 250 million devices around the world, people are reading, listening to, watching, and sharing the Bible using the #1 rated Bible App—completely free. Over 1,000 Bible versions, in hundreds of languages. Hundreds of Reading Plans, in over 40 languages. Add your own Verse Images, highlights, bookmarks, and public or private notes.

Customize your reading experience. Access everything when you’re connected, or download specific versions for offline use.

The Bible App lets you explore the Bible with your closest friends. Share honest conversations about Scripture with a community of people you know and trust. Learn along with them as you see what they’re discovering.

READ THE BIBLE
* Set your Bible App’s interface for your choice of more than 30 languages.
* Easily select from hundreds of Bible versions, in over 775 languages.
* Choose from popular versions like the NIV, NASB, ESV, NKJV, NLT, KJV, The Message, and more.
* Offline Bibles: Read even without network access (available for select versions).
* Listen to audio Bibles and enjoy all-new skip, playback speed, and timer controls. (Audio Bibles available for select versions and are not downloadable).

USE THE BIBLE WITH YOUR FRIENDS
* Put the Bible at the center of your closest relationships with mutual friendships in the Bible App
* See a stream of Bible activity that shows what you and your friends are noting, bookmarking, and highlighting
* Comment to share your thoughts, ask questions, and have meaningful conversations in the app as you study God’s Word together

STUDY THE BIBLE
* Hundreds of Plans: you’ll find devotionals, as well as Plans that lead you through specific topics, portions of the Bible, or even the entire Bible in a year.
* Watch and share clips from ‘The Bible’ TV miniseries, the world-changing ‘JESUS’ film, and ‘The Lumo Project.’
* Search the Bible using keywords.

CUSTOMIZE YOUR BIBLE
* All-new Themes let you select a color palette for your entire Bible App experience.
* Verse Images: Turn Bible verses into shareable art.
* Highlight with custom colors—just like a paper Bible.
* Bookmark passages: Share, memorize, or just keep track of your favorites.
* Share verses with friends using social networks, email, or SMS (text).
* Add notes to passages: Keep them private so only you can see them, or make them public to share with friends.
* With a free YouVersion account, see all of your notes, highlights, bookmarks, and reading plans on any supported device through cloud syncing.
* Read easier with settings like fonts, text size, and contrast for bright or low-light conditions.

CONNECT WITH YOUVERSION
* Contact support from directly inside the Bible App.
* Like us on Facebook: http://facebook.com/youversion
* Follow us on Twitter: http://twitter.com/youversion
* Catch up on the latest on our blog: http://blog.youversion.com
* Use YouVersion online: http://bible.com

Download the world’s #1 Bible App now and enjoy the Bible reading experience loved by millions!"
5,10485713,0.99,8253,5516,4,4,4+,Games,47,5,1,"★ WINNER ""BEST GAME"" 2009
★ 3rd PLACE WINNER ""BEST APP EVER"" 2010
""Quite honestly, if you enjoy the game of Mahjong even a little bit, you’d be nuts not to buy this game. It’s the best mahjong available for the iPad or the iPhone"" — 148Apps

""Shanghai Mahjong app is the best Mahjong app available on iTunes"" — slapapp.com

""This is arguably the best digital version of the game I’ve ever played"" — macgamer.com

""absolutely gorgeous!"" — gear diary

""If you've been stuck trying to decide which mahjong solitaire game in the App Store will get you the most bang for your buck, it’s time to stop wracking your brain and give Shanghai a try.  It’s a gorgeous and über customizable version of the game you know and love"" — appadvice.com

""With solid controls, a variety of game modes, and nearly endless customization via direct downloads, Shanghai Mahjong came away the winner in our Games category. — iLounge.com

""13th Top iOS App of all time"" -  148Apps

""You’d be seriously hard-pressed to find a nicer looking mahjong app than Shanghai"" — appsafari

Shanghai Mahjong, one of the most popular games of all time, returns in this definitive edition. Whether you have two minutes or two hours you'll quickly lose yourself in this classic tile-matching obsession. Shanghai has been carefully designed to look amazing on whichever device you decide to run it on: iPhone, iPad or iPod Touch. 

Features:

• Photorealistic game tiles
• 50+ tilesets keep the game fresh
• 200 different layouts keep your mind active
• 33 Challenging Game Center achievements
• Unique Windstorm mode adds new game twists
• Personalize with custom backgrounds
• Global Leader boards
• Detailed Game statistics
• Supports your background music
• Post scores to Facebook
• Fully supports iOS4 and the Retina display.

UNLIMITED CUSTOMIZATION
=======================
Those that think that classic Mahjong is so 1924 can rest easy. Now you can choose from an ever expanding library of tilesets to keep the game fresh. From Fractals to Trippy Polish Cinema we automatically make new sets available as they're cranked off the production line.

You can further personalize the look of the game with an unlimited selection of backgrounds. Choose images from your photo album or from a selection of custom designed artwork

From fast two minute games to extended head scratchers, quickly choose from over 200 layouts or select one at random each time you start a game. 

LEADERBOARDS AND ACHIEVEMENTS
===============================
Wondering if you're king of the tile heap? Now you can see how you stack up against friends and other players world wide. From Morphious Moves to Slaying Dragons Shanghai's 33 built-in Game Achievements are guaranteed to test your zen-mettle in new and challenging ways."
6,227795968,0,119487,879,4,4.5,4+,Finance,37,0,19,"Description
TAP INTO YOUR MONEY
Send money or pay online to almost anywhere in the world in just seconds. Manage all the ways you send, receive, and spend money at a glance – download the PayPal payment app today.

SEND MONEY IN SECONDS
Transfer money to PayPal account holders in over 100 countries using just their email address or mobile number. When the money arrives in their account (usually in seconds), they can spend the money online or withdraw it with just a tap. And it’s completely free when you send money to friends in the US from your bank account or PayPal balance.

GET PAID WITH EASE
Send a request for money that allows people to pay you back with just a tap. Whether you’re collecting money for a group gift or something you sold online, PayPal mobile app makes it easy for them and even easier for you. 

STAY ON TOP OF IT ALL
Whenever you send, receive, and spend money with PayPal, the app sends an instant notification to help you keep track of it all. Whether you use PayPal Credit, your balance, your bank, or your debit and credit cards to pay with PayPal - you can find everything and anything you need to simply manage it all in this secure payment app."
7,49250304,9.99,1117,4,4.5,5,4+,Utilities,37,5,1,"PCalc is the powerful choice for scientists, engineers, students, programmers, or indeed anybody looking for a feature rich calculator. It includes an optional RPN mode and multi-line display, a choice of button layouts, an extensive set of unit conversions and constants, a paper tape, multiple undo and redo, engineering and scientific notation, as well as support for hexadecimal, octal, and binary calculations.

Includes an Apple Watch app, so you can calculate on your wrist!"
8,70023168,3.99,7885,40,4,4,4+,Games,38,0,10,"Now with MFi controller support!

Ms. PAC-MAN by Namco is one of the most popular video games in American arcade history! Who can forget the countless hours and quarters spent outrunning ghosts and chomping dots? 

Re-live the retro action on your iPhone with the queen of the arcades! 

- Navigate through the mazes by touching the onscreen Directional Pad in D-Pad Mode. 
- Chomp on dots with the swipe of a finger in Swipe Mode. Munch fruits and other items for big points! 

Chomp all of the dots to advance to the next stage. Go for high scores and high levels! Gain an extra life at 10,000 points! Gobble blinking Power Pellets to weaken ghosts temporarily and eat them up before they change back. Avoid Blinky, the leader of the ghosts, and his fellow ghosts Pinky, Inky and Sue, or you will lose a life. Lose all your lives and it’s game over! 

CHECK OUT THESE OTHER COOL BANDAI NAMCO GAMES: 

- PAC-MAN Championship Edition DX
- PAC-MAN
- PAC-MAN Friends"
9,49618944,4.99,76720,4017,4.5,4.5,4+,Games,38,4,11,"Solitaire by MobilityWare is the ORIGINAL maker of Solitaire with Daily Challenges. We’ve made some incredible updates to our Solitaire to include fun new features! Don’t forget, with this version you will enjoy Ad-Free game play! If you like Windows Solitaire, you're going to love this app. The familiar Windows Solitaire game you used to play on your computer is now available on the go!

We have NEW THEMES! Summer Sports, Summer, Fall, New Year’s, Spring and Rainy Day!

Check out the new Solitaire iMessage Stickers for your text messages! To send a sticker, open your Messages app. Tap the Apps button (which looks like the App Store icon), then select our Solitaire icon to view and pick from the sticker pack.

We’ve always aimed to recreate the simple fun of the classic game of Solitaire. Each day you’ll receive a unique Daily Challenge. Solve the Daily Challenge and receive a crown for that day. Earn trophies each month by winning more crowns! Your Daily Challenges, crowns, and current trophy status are available to view any time.

Play by yourself or challenge other players in real-time. Solitaire can deal the same hand to multiple players so they can compete against each other at the same time. You can have your choice of playing with your friends or testing your solitaire strategy against a completely random player. Just because it’s Solitaire doesn’t mean that the play has to be solitary!

Haven't won in a while? The Winning Deals feature creates a game that deals hands guaranteed to have at least one winning solution. Use ""Show Me How To Win"" to help walk you through the moves required to win the deal if you still need a hand.

Think you have the best Solitaire score around? With Apple's Game Center enabled, you can check the Game Center leaderboards to see how your Solitaire skills stack up against top players all around the world!

Solitaire is a universal app, playable in the best resolution available for each Apple device. 

FEATURES:
-Ad Free
-NEW iMessage Stickers
-NEW Theme Packs
-Daily Challenges
-Multiplayer Solitaire
-Winning Deals
-Show Me How To Win
-Game Center leaderboards
-3D Touch in phone menu
-Draw 1 card
-Draw 3 cards
-Portrait
-Landscape
-Custom card backs
-Custom backgrounds
-Achievements
-Right or left handed play
-Game state saved when interrupted
-Unlimited undo
-Auto complete to finish game
-Standard scoring
-Vegas scoring
-Statistics
-Accessibility Settings

The addicting game you’ve been playing on your computer for years now goes wherever you do. Download Solitaire today!

For answers to frequently asked questions, head over to
http://www.mobilityware.com/support.php

LIKE US on Facebook
http://www.facebook.com/mobilitywaresolitaire

FOLLOW US on Twitter
@mobilityware

For the latest info and what we are up to, check out
http://www.MobilityWare.com/

Created and supported by MobilityWare"
